,danceability,energy,loudness,valence,acousticness,instrumentalness,tempo,kmeans
138,0.6,0.622,-11.936,0.924,0.432,0.0,139.501,1
139,0.621,0.43,-11.163,0.938,0.69,0.0,127.74,0
140,0.429,0.263,-9.587,0.366,0.937,3.11e-06,150.269,0
141,0.4529999999999999,0.299,-14.331,0.341,0.7120000000000001,0.0,81.169,0
142,0.66,0.555,-5.329,0.856,0.581,0.0,109.847,1
143,,,,,,,,0
144,0.62,0.406,-10.421,0.695,0.722,6.73e-06,101.489,0
145,0.364,0.607,-9.791,0.598,0.451,0.0,79.987,0
146,0.561,0.0335,-29.467,0.703,0.954,0.86,119.319,0
147,0.493,0.244,-11.487,0.222,0.7070000000000001,0.000462,87.044,0
148,0.5589999999999999,0.78,-6.597,0.964,0.158,6.89e-06,98.661,1
149,0.3229999999999999,0.437,-10.658,0.642,0.872,0.0,203.491,0
150,0.354,0.536,-12.731,0.833,0.736,7.12e-06,108.618,0
151,0.384,0.452,-8.894,0.4529999999999999,0.944,0.00125,84.85700000000001,0
152,0.758,0.557,-10.106,0.887,0.607,0.000218,140.795,1
153,0.532,0.78,-11.255,0.861,0.8690000000000001,5.23e-05,75.944,1
154,0.7979999999999999,0.47,-12.514,0.963,0.00367,0.885,87.499,1
155,,,,,,,,0
156,0.624,0.358,-13.199000000000002,0.871,0.752,0.0,135.797,0
157,0.185,0.3339999999999999,-10.572,0.15,0.907,0.0,103.153,0
158,0.616,0.728,-7.365,0.685,0.581,4.73e-05,139.428,1
159,0.7709999999999999,0.537,-9.544,0.867,0.527,0.765,129.19,1
160,0.473,0.4629999999999999,-8.982000000000001,0.41,0.6709999999999999,2.2e-06,114.324,0
161,0.228,0.358,-7.1610000000000005,0.324,0.5820000000000001,2.84e-06,179.65200000000002,0
162,0.65,0.306,-9.443,0.605,0.57,7.07e-06,118.068,0
163,0.608,0.594,-11.86,0.789,0.32,4.75e-05,125.166,1
164,0.701,0.496,-12.57,0.938,0.857,0.00298,108.679,0
165,0.5,0.373,-13.548,0.727,0.779,0.0,132.368,0
166,0.476,0.679,-7.001,0.812,0.8009999999999999,0.0,139.291,0
167,0.542,0.5579999999999999,-13.379,0.632,0.239,0.0,161.029,1
168,0.48,0.4029999999999999,-13.572,0.731,0.951,2.44e-05,104.297,0
169,0.395,0.934,-6.852,0.841,0.000429,0.0003529999999999,160.662,1
170,0.6609999999999999,0.917,-6.329,0.893,0.568,0.00202,105.289,1
171,0.26,0.26,-9.599,0.2289999999999999,0.885,0.495,78.223,0
172,0.382,0.848,-2.57,0.762,0.6679999999999999,0.00612,125.183,1
173,0.49,0.498,-11.307,0.603,0.0245,0.00492,181.495,1
174,0.613,0.5660000000000001,-8.698,0.977,0.153,0.0,145.131,1
175,0.597,0.172,-15.269,0.444,0.836,0.00249,98.593,0
176,0.644,0.5329999999999999,-11.606,0.79,0.322,0.0,112.16,1
177,0.449,0.195,-15.197,0.302,0.946,0.0484,80.57300000000001,0
178,0.698,0.8059999999999999,-8.681000000000001,0.934,0.619,0.0,113.811,1
179,0.239,0.264,-7.257000000000001,0.174,0.82,0.0,171.72400000000002,0
180,0.604,0.591,-6.874,0.8290000000000001,0.7040000000000001,0.0,140.558,1
181,0.638,0.451,-11.438,0.963,0.555,0.0165,90.193,1
182,0.737,0.283,-11.696,0.747,0.5429999999999999,0.000258,124.07,0
183,0.616,0.185,-14.1,0.413,0.56,0.0,130.849,0
184,0.545,0.66,-7.872000000000001,0.884,0.657,0.0,125.069,1
185,0.575,0.451,-14.082,0.972,0.4379999999999999,0.754,173.57299999999998,1
186,0.516,0.457,-12.609000000000002,0.455,0.596,0.0,173.93400000000003,0
187,0.498,0.831,-6.447,0.8240000000000001,0.643,0.0,168.611,1
188,0.434,0.492,-10.116,0.713,0.2289999999999999,0.0,144.779,1
189,0.53,0.212,-13.661,0.376,0.8859999999999999,0.0,90.352,0
190,0.7070000000000001,0.452,-11.757,0.645,0.7609999999999999,0.0,126.106,0
191,0.767,0.87,-6.756,0.991,0.8140000000000001,0.0037,126.293,1
192,0.5489999999999999,0.0858,-16.893,0.251,0.873,5.59e-05,91.94,0
193,0.612,0.696,-6.172999999999999,0.923,0.12,0.0,167.762,1
194,0.4539999999999999,0.26,-13.193,0.598,0.539,0.00078,174.322,0
195,0.355,0.0922,-17.747,0.191,0.918,0.0007019999999999,65.952,0
196,0.59,0.586,-9.158,0.7290000000000001,0.422,4.46e-05,91.17,1
197,0.544,0.163,-20.184,0.447,0.7959999999999999,0.0,116.515,0
198,0.7070000000000001,0.5489999999999999,-15.712,0.974,0.763,5.88e-05,134.563,1
199,0.722,0.469,-7.789,0.7190000000000001,0.295,0.0,113.026,1
200,0.187,0.392,-11.015999999999998,0.2689999999999999,0.321,0.7829999999999999,70.36399999999999,0
201,,,,,,,,0
202,0.677,0.473,-6.986000000000001,0.847,0.0784,3.43e-05,125.063,1
203,0.515,0.218,-10.071,0.534,0.828,0.0,102.997,0
204,0.483,0.46,-10.055,0.564,0.6579999999999999,0.924,94.185,0
205,0.369,0.385,-9.132,0.735,0.872,0.0,108.025,0
206,0.636,0.893,-6.311,0.887,0.674,0.00143,129.664,1
207,0.481,0.952,-3.16,0.498,0.7509999999999999,2.02e-05,131.631,1
208,0.569,0.198,-15.481,0.622,0.754,0.0002,97.595,0
209,0.515,0.623,-5.597,0.643,0.359,0.0,64.253,1
210,0.6,0.535,-11.338,0.7809999999999999,0.823,0.00818,115.781,0
211,0.584,0.281,-11.091,0.473,0.8320000000000001,0.0,104.872,0
212,0.283,0.831,-6.151,0.8740000000000001,0.347,0.0,82.12799999999999,1
213,0.7340000000000001,0.5529999999999999,-11.146,0.966,0.866,0.0,116.525,1
214,0.629,0.335,-15.039,0.8340000000000001,0.8059999999999999,1.21e-06,157.19299999999998,0
215,0.804,0.6890000000000001,-6.892,0.924,0.126,0.0,120.279,1
216,0.423,0.312,-12.217,0.581,0.743,0.0,103.616,0
217,0.7709999999999999,0.4039999999999999,-13.531,0.901,0.727,0.0,115.64,0
218,0.635,0.352,-17.227999999999998,0.87,0.8029999999999999,0.00499,120.862,0
219,0.53,0.402,-14.117,0.915,0.6809999999999999,0.964,166.266,0
220,0.643,0.542,-10.113,0.8959999999999999,0.6859999999999999,0.305,129.513,1
221,0.4579999999999999,0.8009999999999999,-7.83,0.93,0.691,0.0,160.547,1
222,0.764,0.675,-6.084,0.875,0.144,0.000493,134.086,1
223,0.473,0.767,-9.68,0.949,0.239,0.0,202.513,1
224,0.358,0.1639999999999999,-14.607,0.5379999999999999,0.642,0.0,183.59,0
225,0.8690000000000001,0.6859999999999999,-5.526,0.937,0.384,0.0,123.808,1
226,0.431,0.379,-8.615,0.31,0.794,0.0,97.061,0
227,0.474,0.281,-11.437,0.5820000000000001,0.79,0.0,91.848,0
228,0.418,0.368,-10.726,0.552,0.747,0.00115,99.952,0
229,0.3339999999999999,0.437,-6.577999999999999,0.149,0.862,0.0,73.435,0
230,0.537,0.885,-7.156000000000001,0.951,0.622,0.0,138.95,1
231,0.713,0.523,-9.446,0.965,0.8170000000000001,1.18e-06,127.254,1
232,0.584,0.298,-14.282,0.341,0.711,0.0498,124.834,0
233,0.645,0.6,-7.947999999999999,0.701,0.0661,0.0,135.593,1
234,0.48,0.237,-18.666,0.469,0.86,0.128,103.182,0
235,0.845,0.447,-9.088,0.86,0.792,0.4579999999999999,114.549,1
236,0.7190000000000001,0.777,-8.579,0.94,0.336,0.0,125.412,1
237,0.276,0.215,-12.585,0.191,0.8540000000000001,0.0,93.457,0
238,0.591,0.2189999999999999,-12.573,0.828,0.366,0.8640000000000001,233.429,0
239,0.5579999999999999,0.7709999999999999,-5.346,0.947,0.727,0.0,82.287,1
240,0.847,0.415,-10.678,0.807,0.206,0.0205,123.214,1
241,0.532,0.607,-6.877999999999999,0.718,0.37,6.56e-05,117.214,1
242,0.6459999999999999,0.336,-13.976,0.728,0.674,7.91e-05,113.526,0
243,0.5870000000000001,0.44,-12.88,0.8029999999999999,0.836,0.0,146.442,0
244,0.617,0.207,-15.3,0.843,0.892,0.387,71.734,0
245,0.61,0.3779999999999999,-9.381,0.48,0.622,0.0,97.166,0
246,0.32,0.301,-12.300999999999998,0.217,0.682,0.0,84.91799999999999,0
247,0.654,0.721,-8.476,0.967,0.273,0.0,94.851,1
248,0.55,0.38,-7.962999999999999,0.795,0.845,0.0,99.789,0
249,,,,,,,,0
250,0.5489999999999999,0.5529999999999999,-7.482,0.72,0.848,0.0,123.371,0
251,0.816,0.514,-8.741,0.912,0.767,0.949,136.83700000000002,1
252,0.327,0.427,-8.952,0.283,0.7440000000000001,0.0,186.717,0
253,0.703,0.478,-8.062000000000001,0.7340000000000001,0.626,0.0,117.562,1
254,0.628,0.27,-14.47,0.5479999999999999,0.78,0.0,126.676,0
255,0.428,0.244,-15.447,0.39,0.953,0.000144,100.495,0
256,0.4539999999999999,0.6659999999999999,-16.023,0.721,0.332,3.48e-05,168.71,1
257,0.755,0.642,-6.38,0.6559999999999999,0.0426,0.895,112.653,1
258,0.39,0.0235,-19.695,0.155,0.937,0.00128,133.403,0
259,0.639,0.59,-9.55,0.7979999999999999,0.476,2.44e-05,174.416,1
260,0.562,0.5579999999999999,-3.572,0.8390000000000001,0.858,0.0,174.704,0
261,0.597,0.561,-9.757,0.8420000000000001,0.7929999999999999,0.0,88.381,0
262,0.3279999999999999,0.347,-7.664,0.2689999999999999,0.942,1.81e-06,110.818,0
263,0.436,0.525,-9.248,0.877,0.541,2.82e-05,153.618,1
264,0.685,0.247,-14.434,0.614,0.652,2.1e-05,107.377,0
265,0.324,0.389,-13.63,0.78,0.534,0.0,73.24600000000001,0
266,0.7509999999999999,0.83,-6.215,0.935,0.212,7.94e-06,76.48899999999999,1
267,0.61,0.316,-12.6,0.708,0.755,0.000218,110.0,0
268,0.84,0.452,-12.507,0.963,0.736,1.57e-06,114.249,1
269,0.591,0.324,-13.218,0.617,0.606,0.000144,104.15,0
270,0.659,0.7170000000000001,-7.832999999999999,0.785,0.402,0.0007059999999999,112.592,1
271,0.665,0.1009999999999999,-15.098,0.529,0.848,1.88e-06,107.042,0
272,0.6759999999999999,0.293,-9.49,0.257,0.619,0.0,106.132,0
273,0.514,0.381,-11.904000000000002,0.759,0.286,2.91e-06,122.34,1
274,0.633,0.611,-8.583,0.7959999999999999,0.495,0.0,110.409,1
275,,,,,,,,0
276,0.3879999999999999,0.143,-17.545,0.578,0.947,0.000865,182.665,0
277,0.367,0.8959999999999999,-10.893,0.748,0.3939999999999999,0.0,180.644,1
278,0.359,0.591,-8.668,0.91,0.637,0.0,183.318,1
279,0.583,0.43,-11.705,0.6779999999999999,0.8420000000000001,0.0,118.953,0
280,0.4379999999999999,0.0872,-20.707,0.6629999999999999,0.915,4.29e-05,78.482,0
281,0.506,0.581,-6.568,0.693,0.632,0.913,75.432,0
282,,,,,,,,0
283,0.746,0.6659999999999999,-10.408,0.84,0.5429999999999999,0.0,94.024,1
284,0.327,0.611,-9.808,0.3929999999999999,0.519,0.0,135.151,0
285,0.7170000000000001,0.5489999999999999,-12.272,0.695,0.7190000000000001,0.474,148.628,0
286,0.634,0.8290000000000001,-7.678,0.851,0.6579999999999999,0.012,93.48,1
287,0.492,0.816,-8.273,0.81,0.7140000000000001,0.0,141.21200000000002,1
288,0.789,0.7829999999999999,-5.545,0.973,0.511,0.0,130.037,1
289,0.483,0.43,-13.042,0.514,0.476,0.107,111.795,0
290,0.495,0.595,-9.901,0.669,0.368,0.908,142.016,1
291,0.595,0.4679999999999999,-5.49,0.547,0.735,0.0,104.909,0
292,0.6659999999999999,0.385,-8.166,0.904,0.657,0.055,111.003,1
293,0.605,0.125,-20.93,0.623,0.913,4.37e-06,130.907,0
294,0.61,0.377,-9.805,0.519,0.414,0.0,178.06,0
295,0.499,0.535,-6.43,0.65,0.618,7.55e-05,120.364,0
296,0.628,0.423,-11.231,0.353,0.326,0.0,100.082,0
297,0.521,0.422,-8.772,0.155,0.8440000000000001,1.94e-06,100.954,0
298,0.542,0.785,-5.251,0.967,0.795,2.3e-05,158.37,1
299,0.55,0.8540000000000001,-5.968,0.965,0.6609999999999999,0.0,159.231,1
300,0.2319999999999999,0.216,-10.674,0.432,0.936,4.93e-06,94.268,0
301,0.659,0.66,-8.337,0.672,0.627,0.000217,116.634,1
302,0.5589999999999999,0.633,-3.265,0.871,0.487,0.0,72.49600000000001,1
303,0.376,0.246,-9.803,0.282,0.862,0.0,80.167,0
304,0.45,0.405,-8.062000000000001,0.322,0.401,3.18e-06,73.222,0
305,0.331,0.883,-7.103,0.304,0.5870000000000001,0.16,138.197,0
306,0.413,0.1639999999999999,-14.579,0.845,0.914,1.4e-05,183.178,0
307,0.679,0.871,-6.041,0.964,0.691,0.0,135.111,1
308,0.415,0.359,-11.094,0.4039999999999999,0.7070000000000001,6.53e-05,146.029,0
309,0.5379999999999999,0.484,-10.308,0.419,0.8190000000000001,2.71e-05,75.656,0
310,0.581,0.143,-16.273,0.469,0.65,0.0,144.605,0
311,0.381,0.0848,-17.77,0.557,0.8340000000000001,0.0,155.036,0
312,0.352,0.613,-13.642,0.52,0.38,0.7759999999999999,152.437,0
313,0.309,0.1969999999999999,-13.156,0.2739999999999999,0.5820000000000001,0.00412,88.728,0
314,0.568,0.81,-5.658,0.642,0.609,0.5539999999999999,124.953,1
315,0.43,0.204,-12.807,0.408,0.77,0.0,75.058,0
316,0.6809999999999999,0.64,-10.364,0.966,0.605,0.0,117.884,1
317,0.867,0.467,-7.627000000000001,0.799,0.133,0.0,118.075,1
318,0.638,0.44,-10.892,0.904,0.722,0.0,125.495,0
319,0.447,0.4379999999999999,-16.43,0.6970000000000001,0.785,0.868,152.129,0
320,0.469,0.647,-13.913,0.942,0.595,1.65e-06,147.878,1
321,0.6920000000000001,0.494,-11.662,0.961,0.346,0.0,128.487,1
322,0.6579999999999999,0.3939999999999999,-15.838,0.968,0.529,0.0,79.707,1
323,0.547,0.909,-5.455,0.968,0.1639999999999999,0.0,82.37899999999999,1
324,0.624,0.61,-9.186,0.759,0.4589999999999999,0.00435,82.65,1
325,0.547,0.6779999999999999,-9.841,0.895,0.432,0.0,125.883,1
326,0.6809999999999999,0.66,-10.425999999999998,0.965,0.7909999999999999,0.0364,130.019,1
327,0.6729999999999999,0.866,-8.34,0.8390000000000001,0.695,0.000231,93.224,1
328,0.4679999999999999,0.933,-8.937000000000001,0.867,0.623,0.0,85.505,1
329,0.7979999999999999,0.391,-11.225,0.846,0.669,0.0,134.303,0
330,0.6459999999999999,0.653,-10.300999999999998,0.602,0.7709999999999999,0.0,121.509,0
331,0.5329999999999999,0.625,-7.592,0.726,0.679,0.00044,92.645,0
332,0.4579999999999999,0.1639999999999999,-23.883000000000003,0.82,0.743,0.0,103.289,0
333,0.511,0.769,-7.032,0.818,0.181,0.0,129.657,1
334,0.547,0.7170000000000001,-5.235,0.8420000000000001,0.129,0.0,186.275,1
335,0.246,0.171,-14.435,0.205,0.852,0.0,81.235,0
336,0.7979999999999999,0.6759999999999999,-8.707,0.939,0.579,0.0,123.269,1
337,0.644,0.52,-8.163,0.715,0.7190000000000001,0.0,126.204,0
338,0.792,0.804,-7.484,0.879,0.225,5.01e-06,132.852,1
339,0.5489999999999999,0.12,-21.117,0.3,0.286,0.0,94.349,0
340,0.607,0.303,-10.065,0.555,0.8170000000000001,0.0,97.383,0
341,0.48,0.405,-10.528,0.6679999999999999,0.497,0.0,152.64600000000002,0
342,0.649,0.584,-8.086,0.963,0.72,9.42e-06,139.266,1
343,0.917,0.466,-9.253,0.634,0.13,5.19e-06,91.3,1
344,0.535,0.797,-7.532999999999999,0.613,0.48,3.4200000000000005e-05,148.835,1
345,0.7390000000000001,0.743,-5.926,0.922,0.452,0.0,111.07,1
346,0.521,0.774,-8.416,0.971,0.136,0.146,100.954,1
347,0.495,0.435,-9.99,0.71,0.67,0.0003799999999999,108.189,0
348,0.429,0.521,-14.158,0.753,0.076,0.8590000000000001,133.792,1
349,0.552,0.6659999999999999,-8.507,0.914,0.657,3.19e-06,120.292,1
350,0.322,0.1889999999999999,-14.875,0.3939999999999999,0.765,1.81e-06,71.558,0
351,0.303,0.7929999999999999,-6.117000000000001,0.732,0.0769,1.95e-05,165.61,1
352,0.452,0.1009999999999999,-18.548,0.22,0.768,0.933,76.402,0
353,0.498,0.266,-13.425,0.376,0.768,0.0,69.601,0
354,0.6559999999999999,0.402,-13.263,0.6729999999999999,0.118,0.0,117.742,1
355,0.6940000000000001,0.4529999999999999,-12.583,0.457,0.2339999999999999,0.546,146.6,0
356,0.481,0.733,-7.632999999999999,0.8740000000000001,0.575,1.18e-05,122.909,1
357,0.416,0.726,-5.254,0.895,0.687,0.0,182.219,1
358,0.556,0.867,-2.346,0.8959999999999999,0.445,0.0,143.04,1
359,0.6759999999999999,0.64,-6.675,0.833,0.447,0.0,121.165,1
360,0.507,0.32,-12.472,0.575,0.8809999999999999,2.59e-05,130.565,0
361,0.607,0.624,-2.983,0.6940000000000001,0.8240000000000001,0.0,100.809,0
362,0.584,0.489,-6.182,0.777,0.755,0.0,121.891,0
363,0.313,0.3989999999999999,-9.552,0.367,0.7759999999999999,2.31e-06,107.404,0
364,0.741,0.598,-5.136,0.92,0.8079999999999999,2.92e-06,124.47,1
365,0.54,0.521,-10.343,0.8759999999999999,0.522,0.0,98.187,1
